 i'm john doe tag, not question
 for example what think of a race of the could teleport, not question
 as we payed algorithms in a race against each other this will be a special kind of race with no finish line instead we prefer algorithm to have a clear lead or the other contestants have no hope of catching up because this race has no finish line we will allow the contestants to cheat and start wherever they want and even take performance enhancing drugs to multiply their speed by whatever cuts effected they want colloquial eat this means that we only focus on the largest firm in expression and ignore all constance, not question
 None, not question
 solution is the right one and how do we compare one algorithm against another, question
 think of it in a lot of traveling the southern adventures interviews like this what do you do on your days off hangout with friends, question
 is your favorite place to visit in the world cup was specific thing do you love the most about taxes people, question
 what's the one thing you can never live without, question
 lol how doesn't work with one hundred that you never give up dance at what's one hobby that you plan on picking up, question
 so what are new to the phone a cover of your song by musician named marie britton, question
 what is a cover yeah i'm using and is coming your clit why do you, question
 do i sound but have that's okay so how do you describe yourself in three words loyal kind, question
 what's a pet peeve that you have people are rude, question
 what scares you the most losing someone i love what makes you the angry is, question
 cat what's one at fashion trend that and try to get the most, question
 shoulder pads what's your favorite exercise plays was the best so to enter into don't stop believing with your spirit animal mastery as until they seem to get appoints language they teach my newborn child japanese, question
 what is your first memory of life, question
 i am painting the look up to most in life and was the best piece of advice you receive from him treat others how you must treat with a good will have learned from your parents everyone is equal and everything happens for a reason what advice would you give your fifteen year old self guided do it cuz you're gonna do anyway with something you know now that you didn't know that haitians where do you see yourself in ten years of happy what tv show i've been watching these days trigger enthusiasms fictional character you want to spend the day with matt had a fictional place you want to live wondering what's the last movie that made you cry packs orange what's the movie to watch over and over again crazy stupid love what was your favorite movie as a kid the wizard of oz do you have any hidden talents think that having any more cuz that you get to but i can say anything in a foreign language, question
 baby upset was because a president that a romantic dinner with the best gift that you've ever received a jewelry box was one thing people would be most surprised to know value how much i love depressing things, question
 when do you feel most beautiful when i'm with people island when do you feel most creative when i'm sad, question
 how is the find out, question
 can you tell me a secret, question
 can you tell me a lot, question
 last question can you in this interview the worst joke you've ever heard, question
 what did the pirate say on his eightieth birthday dinner, question
 is the right style and we use the three to six called questions only way i'll start and when it does we can only speak in questions that's all i do for the make a mistake grimaces out and the next person will pick our place and greg was it your cat is a tourist hotel is about to turn into the towering inferno questions only plays, question
 well no what color smoke, question
 would you believe sixteen years groups abortion insurance to go sorry i didn't do it what's going on, question
 would you like to check in, question
 we have a room for three how many engineer meet you mean three people mean really gotten any or three dogs that look like this, question
 what is one year, question
 is it going alright was the coolest thing about sydney australia when people was your favorite place to hang out in sydney australia and the beach, question
 what up what you think, question
 vertical see your side being huddling was the best travel advisor anyone visiting sydney australia and bring sunscreen and why didn't was the best thing about nashville, question
 what c'mon push ups with one tony wish you had, question
 do you really think about country music, question
 can you do an impression of someone said, question
 it's too easy to recognize that can you do another question so now certain that when packing all of the lights can you please take this post down and writing a secret to someone special, question
 is your favorite sesame street character it's, question
 what's your favorite color and you stick to this ericka probably, question
 what times are yoga space heater fashion icon, question
 my six packages with your spirit animal and object for the shoes and other career over the fish scientists was able to cure something very important cure cancer can you answer this question from this man on, question his i pad
 why was, question
 what's your favorite at the weather app their website to times one superpower what would it be to fly low paid a toy what's the best part about being a mom on everything in the line of joy the purpose, question
 show me the tv show bolton the weights generally would die to play in the wake of which of the west in the remake of the wizard of oz, question
 this is such a cool kind of yellow one and give me when you get this cottage who would you invite and keep and was a historical figure that have coffee with arun was about, question
 where is your favorite food homemade warm bread with that he was your least favorite food ham eleven at pizza truffles truffles and amazing choice of what's inside the vehicle concocted, question
 what are you most of as a learn being an actress, question
 what would really like its small we can all know each other with hugh jackman really like, question
 what's one thing you always bring with you on sat, question
 why, question
 if you could say something to yourself in thirteen years what would you say i told you so, question
 what's the best part and get from an australian to american on a farm visit like this, question
 what were the, question
 what's the reason, question
 are you crazy don't you know this winter two hours ago, question
 would I care if I sent you make me don't you think it's too late, question
 don't you know i can read your eyes, question
 could play in good to see you its good to see you here in sunny los angeles yes what's the best thing about being in los angeles weather was what's the worst thing about being in los angeles the small and a man's, question
 is hollywood really like and, question
 what country in the world would you love to visit on man there's two men name of the plateau to coaster rica the one thing you can't live without love, question
 what's your favorite color probably red, question
 hair color do you enjoy having most probably read, question
 the funniest person you know who jesse eisenberg is one of the funniest people world, question
 who made you most star struck and, question
 are there a muslim faith, question
 who made you want to be an actress a lot to jerk any hall hocus pocus beetlejuice them to be what you be having that thats great thank so much up could you want to shoot a love scene with marlon brando in on the waterfront, question
 what's your dream role, question
 who created just a thought but given up dub smash off line to seven am does national on my phone you do that of james cordon singing amazing grace, question
 and that was goes as with everything the french fries and brussel sprouts not necessarily the same time with your listed in the beatles and anything with this of what was your first job i bake dog treats and a dog bakery, question
 what is your favorite fashion trend all to, question
 what, question
 a deaf i don't know how to play was eastman's cash red yeah okay what is your favourite book of all time we've had everything carpenters bg sound he live in any era what would be i always thought it would be twenties but then i realize that it's kinda easy idealized times and forget about typhoid for something you always travel with a book in water if your stuck on a deserted island was the one thing you couldn't live without a boat to leave the island what's your favorite television show of all time high off with his there and all of her plot was two seasons is billion with your favorite plot twist in any movie and loved the plot twist in planes trains and automobiles for rent of he have ran and what a gorgeous tanya was appreciated as much wound meditated on his cover seven three words probably, question
 what is, question
 who is your favorite superhero, question
 hey do you have a secret talent, question
 hey guys its a woman thing that all i get on the stuff what something most people don't know about you alot these people know about me but that's a whole point is seventy three questions and for instance if you turn to your left on this plasma tv you'll see a man asking you a question greg will stop crying bedtime story should i read a whole love you forever even with all due nicknames and, question
 advice would you give your teenage self stop with the self tanner than of was the best gift you've ever received him a rocking chair with the desk, question
 what, question
 so where's fashionable time welcome to pants just my opinion of you have a morning the ritual, question
 what's the weather in your morning positive self talk what are three things that you cannot live without music good hogs and butter popcorn what is fun to have more subscribers and there are people in half the countries in the world i mean i have thirteen million subscribers which is like twenty six million eyes and give me a chance everyday so is fortunate can you tweet something tell them and yes how did you start your channel seven two thousand ten when i was a not so happy person and making meals made me happy slip last word that makes sense but one thing you can still bet most people don't know about you, question
 i can run or jump whatever you more than two billion views what's the key to successful but it has the key to a successful videos how you define success it just turns me enjoyed and sent, question
 between sanders and in my house who's following you around her and with the what do these are new this one i love it i just believe that everyone should feel like taking their own superhero especially onions why do you call yourself super woman because i was going up congress of superman really help me to some tough times fifty did of superpower what would it be, question
 yes there is your documentary right there in the morning when the crown come from anyone lol island is a synonym for my happy place of a chip to crown is my documentary that trouble me travel me all the child across the world the mafia what causes there for julie, question
 what you want to seventy four questions asked me what you'd been then made okay as long as there to whatever is like a person, question
 what is the best so supportive they're super cool animals all of drakes lyrics were for what ever you wanted to be a rapper when you're younger when the indian prince think of me when i was young i was your app on the really, question
 can you rap while verifying the following claims made about you, question
 wells in Kenya in a really cool Safari collaborate with anyone living or dead who would it be, question
 they're downside all this and has downs and everything i think everything is a double edge sword and how does one stay humble three hundred miles that's true we was given a closet the whole image is right here and take the sadness that i love locations loans what is harder on everything that which renew it doesn't go out of style attract off denim cain's xel ha for what does beauty mean to you is it beauty means individuality you think it's humanly possible for you to describe yourself in three words only funky bottles stanley watching in your lipstick valves, question
 the end of the effing world so it's always good is what matters would you play the movie, question
 actually no no i hope when actress would you want to play you in a movie with emma watson and will be amazing i tripped over a lot of it how do you deal with the haters find happiness is that i was looking drain give me a secured member they twenty thousand one of one hundred, question
 if it's considered growth and it can be considered failure what is your message to all the money was there watching this video don't just hope and pray for james worked for them on i'm gonna ask next question to the special guests right here is your mother all lily's mom paid your first impression of your daughter back on your super bowl rings seen yes even though it by myself and if you and you too for a day what would you do all the whole banquet may titles and thumbnails what are your favorite comments to receive full and that's a slimy work hard elements, question
 who wants to social media campaign hashtag role of a few years ago when you start i just one young girls a feeling that only to find one other going up not wanting understand that we're stronger together, question
 what's most controversial thing you've ever said that will feminist by the controversial, question
 do i regret all the time i spent writing things out regret if you don't show me a secret talent in this video you do that for me okay okay to see this is a very sharp needle mental that's not the results of which i became of the strings of it's like that in our paternal aunt sara is going on went into my wit streaming intel on, question
 no need to find me someone can i ask you a question from, question
 loosing gotta go and i know you like oh no but that's okay i'm gonna throw is what you think about my slow, question
 what movies so much disagree with me right see you made by, question
 any of these look familiar, question
 tell me how i can and thank you so much for fitting is seventy three question interview into your busy schedule without bad alright cool lets do this so what's keeping you busy these days i'm just working on getting ready for grammy's was most exciting thing in life right now, question
 programming is what are you completely apart of in life right now click bait what is something that recently moved to, question
 kiss me by sixpence none the richer was the first thing you do when you get an idea for so i record a voice memo myself singing it or i can write it down minutes what's your song writing process, question
 which one to get along as, question
 what's the last thing you baked on a gluten free dairy free chocolate cake what one thing do you need to have in your fridge any given time homeless weirdly was wondering is having a child, question
 taylor what do you think when you google yourself i think, question
 you should never google yourself again if you had a superpower what would be healing people if you are not a singer will you be doing, question
 concept is the same as as hooks in songs this is very lovely out here thank you can you show me a really cool or bizarre talent, question
 oh man yeah they're weird there'll yeah what's something you can do, question
 what's the best gift you've ever received, question
 my boyfriend planted a and all of tree in my yard for christmas which one haven't you should break, question
 what's the prezzie most about people, question
 what makes you laugh no matter what, question
 what does creativity mean to, question
 what's the most adventurous thing you've done, question
 i think filming the bad blood video is my favorite memory with one accomplishment your most proud of my grammy is was something you've always wanted to try but you to scared to do, question
 what advice would you give to anyone who wants to become a singer and get a good lawyer any presure rituals, question
 what's most difficult song to perform on stage and walk, question
 is the cat there sick are used for you if you were a cat would get along with your cats falling out they were kinda thinking cool how many capri can you name in ten seconds and when i start, question
 amazing what what's the coolest thing in a certain kindle so much cadillac the coolest thing in this room i think is the fireplace nice if you grid woman's closet hoodie blake lively what's your favorite fashion trend about high waisted stuff, question
 can you tell me what you be wearing to this year's knockout, question
 okay so my little cousin julie wants to now what did you wanna do with your life at age five, question
 knew that my dad was a stock broker but i did not know what a stock broker was yet i walked around telling people i'm going to be a stockbroker nigga what's the one thing you wish you knew it nineteen, question
 what's something you will not be doing in ten years and, question
 okay what can you say in another language, question
 what do you think he would say about the work you've done as a friend artistic director no good enough, question
 don't tell rob using a woman on a bed on a seat on the train monday this is an absolute them and day and the first question i'd like to ask you is what are you most excited about in life right now well the next guy that may be the culture of the met gala this year, question
 what should we expect you expect the best, question
 because i have a giveaway and what are you reading right now, question
 my cousins and what's the song in your currently obsessed with me all results if you are not running the such a how you spending your time have respect the problems what something you still love to learn chinese was the best film ever made this simple water was the best photographer that feel mesa we favorite flowers honors roses looking for me me the right decision nailed but pleasure bbq okay c major fashion houses in the world which one is it new york or la yamaha less leather or lace leather silver or gold, question
 gold and it was pretty obvious i think but heels or flats with the question heels heels donatella what excites you most about fashion but it always involve in man was a favorite aspects of your job, question
 what's one item every woman should have in her wardrobe and federal tax black pants, question
 can what's your greatest achievement my children how describe your personal style that a person on, question
 what's most important thing that ever happened in the fashion world technology with the tray that you wish would never ever return the minimum is, question
 you think one day we're going to be reading your autobiography never know because of the necessity my life and to keep from crying that's some, question
 who wrote the world what would you make a law, question
 what do you miss most about johnny is of, question
 what was your favorite memory with him main bath fenced living at the latest fashions from paris to of our field, question
 and what way did he inspire, question
 what's the best advice that he's ever given you, question
 okay so what's the best gift you've ever received here on that one for my brothers and, question
 yeah cause me dot so we then in italia that that is evil quality of the two places for thirty to visit audi a hickey so bad because of it so this from his causeless cause in america what's your favorite thing that americans say, question
 can i have a some of which is also where do you wish in the speakers stop saying incorrectly miss that she is sachin what makes versace unique me for most memorable than such a show nineteen ninety one fishing shoulder all the super mothers singing fatal on the runway, question
 your hashtag what would you be ashton rooms numbers knows i understand it your brothers news was i in all the work that you do who would you consider to be your muse song without color the wall, question
 how special changed since you took the mission of the brand, question
 what's the first reaction when your lady gaga song donatella essay while finally, question
 oh no that's vs donatella how would you describe yourself, question
 how one person, question
 how do you feel you are perceived, question
 what's the best advice you've ever received in your life because yourself, question
 what advice would you offer to your sixteen year old self, question
 how do you react to criticism hand, question
 what's your vision for the movement in twenty eighteen, question
 what does it mean to be a woman to, question
 do you consider yourself a feminist hundred thirty s what does feminism mean to one just say before the of all the progress of the war the train to fix a little bit right, question
 what's one thing that's going to save humanity system of gelatin and donatello for the last question i have to ask you what fashion advice, question
 biggie hey hey thanks so much for having me buy a good time for an overwhelming 73 Question Interview I'm free it is alright what's the first thing you thought of this morning that I was starving what's your favorite animal what's your favorite animal that does not exist, question
 add ask him exactly in everyday tell what happened the night that he passed away is arrested what's the greatest interview question you've ever been asked the greatest I think was, question
 would you bring on a one-way trip to Mars, question
 I got it from Beverly Hills where I was obviously Beverly Hills what's your favorite song of all time is made me fall in love with rap music, question
 I don't have any rituals not getting ready performance rituals maybe just taking off my makeup what's your song, question
 what's one legendary person you love to have tea with I would love to meet Keith Richards, question
 easily Gwen Stefani I love her for the rest of your life what would it be, question
 seriously what's being famous like I think it's a total mess but it's awesome, question
 what's the craziest rumor you've heard of yourself, question
 hey cindy here we are in gorgeous now tho thank you so much for this invitation thanks coming when taking something very simple question what's going on these days schools out and ready for summer wasn't a sending you have planned for the summer at we go to the lake for about a month and just go nice has now the left your right now it's heavenly in sierra vista their stuck on a deserted island and you only have one book what are you reading anything by jodi called, question
 what was that like its printing the best where he said he paid the usual fee for, question
 what's the thing with feathers something hammer on twelve and every one of my family they think i have a very inappropriate sense of humor at times what's one causing care deeply about, question
 what's one slang word you wish would just go away for some extra, question
 oh i like it was can you show me an example of the many can easily two truths and a lot of damning pepper had a dog named paprika and himself, question
 what's the best location for a photo shoot investigation is and which with warm water first location any beach with cold water that i never gonna get into favorite photo of yourself one in mind for sure it is this man by how many and shop for center pay, question
 most of the game you print the sign the fairest in the land her what's up with this photo of you sneak yes will this is me as even the garden of eden and that was my first only issue with the snake priscilla's heavy secondly it's not disgusting and thursday it got a little too friendly, question
 what are three things for anyone to look better in photos from, question
 which cover of that appeared on is your faith, question
 my favorite color is my very first of august is sixty richard on a baby cindy in pain what's the point is direction from the photographer they received but once i respected you need to get on a separate the surfer while we high heels and a dress and get answer for shoulders and surf and and not get my hair wet, question
 keeping it all together for the sickle the book because it's within a sure has been fun it's question number seven due to no actually wasn't that wasn't a question seventy two the last question is kinda personal request but can you show me how cindy crawford drinks pepsi, question
 why is, question
 my husband what is one thing in this world that we need to get rid of faith to believe in free will or destiny i believe that free will leaves you to your destiny with one thing you cannot live without my velcro rollers what is the definition of misery, question
 to tell you how are you did you get your again its good to see you welcome thank you again for american asks me three questions in your store thank you was the first thing you do when you wake up in the morning i check on my kids what the daily ritual i'm up at six a m looking up to the pats that'll be cut question how the bulldog lives in la any pet names your kids i do this i tell you that the most of it was when will you give consistently ignored, question
 it's dumb paper go in the house was the greatest thing you learn from your kids how to play football in house and how to love unconditionally pick up anything from them i have no idea at eight, question
 alright let's take out the store what is your favorite color, question
 sunset orange what's your favorite flavor salt what's your favorite spice, question
 what's, question
 what's the secret out, question
 what's a moon me to cry the hardest, question
 a store's lovely thank you wasn't there i am for sam i really like this bright pink fluffy dress and hey what's the best sink and you never learned less is more fun the world with one lol you would an act f two mean when when i run the world i'm gonna make and not everybody has to do a little something for them from pick till one thing for the rest of your life what would it be and the kids get dressed in the morning, question
 sucks because the best tracks we where we need to relax my lawn that john's inside cellphone occurs what are three things you always have in your back by rated hand cream number twenty three make up for at the lip liner and my credit card to toro would you mind putting on another pair of sunglasses i couldn't make a perfect gift for someone, question
 just one question like to be asked more often would you like a ninety nine was one question you hate being asked why the smile good question why don't you smile and smiling on the inside i feel that i have a responsibility to the fashion community those lesson glasses are great but i'll take anxiety, question
 and it doesn't it's stuck thanks just not think it was a vacation spot napa valley with the country like to visit i'd love to get kenya to bring one thing from the same thing what would it be funny with one piece of clothing or larger that david hates enough everything in my will to at twenty so clothing and it has water but you hey i really like that song on the deck he he passed a few years ago about what would you ever war what would be the full the net and let that i wore fuse got this must be a leader of beautiful things if you could teach any subject at school what would it be singing a new tune up but i think the torah what's your favorite food, question
 hot saki sue the day with someone living or dead who would it be, question
 paris what is your idea of a perfect date, question
 nice him with my husband to believe alot of her sight at the age of or so what made you fall of a date of death at what age were you the happiest, question
 is there a type of animal print, question
 the hunger games steak and he didn't have any super power in the world what would it be i would be up to work out and sleep at the same time, question
 what are three words to describe london inspiring energetic multi cultural was the one thing everyone should do when in london come to london and pick my stool what do i was about americans the positive energy disability where would you live, question
 neil how are the kids into the milk to bring back one look from you twenties but it did not have you seen a spice girls films, question
 to be a pro in any sport what would it be tenants to the star one movie what would it be i started spice let me the and i'm still waiting for my outstanding achievement award, question
 could you want to write your biography me, question
 the name be of your autobiography of walking cuz less or phrase will define how you live your life, question
 to redeem them on figure out what i can do to really help and make a difference forty going to be alone icon and you are mine and my kids from me everywhere what's one thing about you people be surprised to know comedy gold to choose anyone in the world who lives next door to you who would it be, question
 mr valentino lives next door to me and it doesn't get much better not to do it with one person who paid, question
 if you acted with around town and it doesn't get much better than that you can give yourself advice at age thirteen what would it be discontinued can drop a school can be fine to do something else with your life what would it be twenty anything else victoria last question, question
 just had a person run cheaper will be in sioux because we showed like to make a cameo in definitely stranger things with the movie that made you cry from laughter pineapple express was a movie that made you cry from sadness titanic what's your favorite album right now at this moment, question
 celine dion squares it's that's a surprise and all the other items the rock star many decades would you be easy prints now if you could be any rapper who would you be, question
 what's the weirdest hidden talent that you're willing to share with us at the moment i can blow spit bubbles in my tongue rights gonna have to put on a performance for this but what's the best impression that you can do impressing cat always he started the impression he said i've been in a lot it's a can you have to make a careful choice stevens start to do an impression installing and it and s suppose to be chris for off and see him another resemblance was uncanny i was it was having worst habit procrastination with your best seven fast tablet is ah i always always come through and the job was the number one fitness tip that you have for everyone watching this it just start slow with the number one piece of advice you have for other young actors looking to break into the business, question
 practice patience two minutes of patience for me okay google set a timer for two minutes shower and it's starting out of the pressure is on the finishes up okay who's your biggest role model my grandfather what is your favorite part of your job probably the versatility of it after not actor what would your dream job be and why, question
 i would probably be a chef was the craziest thing that's ever happened on set one time a tackle me see grandma underwear and it was improv so she was expecting it is pretty funny, question
 to hide all the or sat behind was a shark atlanta for the next question is it true you one swim with while chart, question
 yes that's not the sugar but did ride the tiger shark bay one and why was pickle you could change your name what would you change your name to cali see of the first job i did a small playing rebranding call at the military everything to books on what song you played more than any other song on guitar center in over your dj name be after zack was the most terrifying thing you've ever done in the sky diving, question
 not very much so definitely not sharks but writing sure it was pretty scary of bs star in any movie in history what would it be the godfather for one okay last two questions, question
 what's it like working with seth rogan absolutely incredible seth rogan is amazing can you do your impression of seth rogan just like a different person are walking, question
 can a person eight he had the best wings ever on may be set to do that it is accurate of animals for, question
 what's the coolest thing you've ever done ate some worms, question
 which one are you most proud to have received, question
 where do you keep your Miss World Crown I didn't get to keep because it was made of solid, question
 you remember your question from the 2000 competition, question
 who is the living woman you admire the most, question
 what's your favorite this your mom cooks and she's going to kill me but my mom can cook, question
 what's your spirit animal, question
 surprise a girl don't do the whole chocolates and flowers thing and what's your ideal first date, question
 what's the worst pick-up line you've ever heard in your entire life oh my god did you just fart cause you blew me away, question
 what's the most American thing you can say in an American accent, question
 if you got another tattoo, question
 is there anything you always traveling, question
 and who are your style icons, question
 Hail Mary if you got us Tupac one question what would it be, question
 don't laugh I'm being sincere can you do your best impression of the opening in the Baywatch theme song, question
 who's your dream on-screen love interest, question
 Bond James Bond if you were an actress what would you be doing with your life and be an engineer at NASA, question
 how many were taking work it, question
 mario including this one right here approximately how many times that someone made a reference to the basketball player michael jordan is that when i'm doing that right now, question
 yes for the moment that so sweet wheels outside with with me with that actor in a six is what childhood record straight was a fast speed but you never jetted hundred fifty seven miles far will he go to lax of your best friend, question
 who's your all time favorite comic book character, question
 black in use how you describe yourself, question
 what will, question
 if not acting what would you be doing with your life cooking a little food in and tell her earning like our accounts of this on the side join apple be here you can you show for the coolest place you've ever been close place, question
 examples of okay what's the location that you'd love to go to, question
 amen i'm says tokyo japan night and mains press looking back at your life when was the most nervous you've ever been, question
 can i have a video game of all time, question
 carry earning situation just set a form boston of thing but he's a killer your now okay so who's your favorite actress, question
 meryl streep and what's your favorite performance of hers ever, question
 for all was on guaranteed to get you dancing alicia myers thank you can show me that dance move there to see there's this are whatever singer, question
 what, question
 and i gotta get outta here but what if its nothing but can't think it's these will be incredibly original exciting action packed everything so movie you have seen from oranges, question
 can you give me directions to follow, question
 can you describe your mother in three words, question
 what's, question
 what do i give up to, question
 what is the thing with the driver get here, question
 can you stop why would you do with the buttons exactly, question
 should i be nervous easier five minute call, question
 would you like to get something smaller would you like some oil to rub down and what kind of puppy is it are you know that the bringer of light and now give me by just in case, question
 fuck it and the shear areas you better be ready as his anything questions and won't go check is okay what have you been up to today is the premier of fernand kind and how did you start your day looking there's anybody can while playing a fisher holy with his is my boyfriend my furry dog, question
 help me i don't know what to do with that but how many coffees do drink everyday like to, question
 where do, question
 go to the seventies use our where's home mostly these days in la and this is definitely always mon why seriously will give the holy spirit all i have a present for you you are so kind to will turn on the tree lights and play some holiday music orange holiday station to sure turn on your sister what's mean only goes so nice thank you donovan okay how we can park in the rain in the new year my sister's house, question
 okay what are your news resolutions no longer using visions okay how to stay motivated, question
 and how would they describe you like thousand looney tune of the cause are born to bring that educations inner city communities, question
 also my new how does one prepare voice commons and a girl in you become a thief settlement check here all gina where in the world is the woman dying but i get federal make am i sadly don't cook but i can order me take out thirty if he read that both rooms are as owner she is sweet from what will they so much right when he got here when you like to come on okay facebook when the family are in there artist as hundred only during a nervous, question
 all the time right now especially when i discover style of the whole thing was was treasured thing that you won't, question
 what's something you can do but you really really wanna learn shall i wanna juggle knives, question
 what one person would you want to set a dinner party lisa jesus, question
 when is there is even, question
 listen when you start learning you know i'm service professional seven hundred south of via r with anyone in the world who would it be it would be jealous, question
 what a re co ever saw missing the shower, question
 which ever musical as a kid, question
 what's a wrap that you know inside out back to front, question
 i never should grownup who was the celebrity that you really really admire the most, question
 and right now who is the celebrity that you really really admire the most, question
 at what age were you confident, question
 when is america for enrollment papers, question
 when were you at a complete loss of words because you are so star struck with someone, question
 who are to jim opponents allowed to see in the rain lol triple g vs may weather, question
 who is want to fight, question
 what dreams may come and how did you go about preparing to portray free calling, question
 is it dying to go to, question
 what is the pay is gonna ask you seventy three questions for you got your big cover shoot is are we was excited about these days perspective vacation with your favorite holiday christmas favorite season for a reason hobby you've picked up needle point where it won't go on a perfect road trip every it feel when was the best activity went home on a rainy day cuddle you to switch lives with someone for a day who would it be, question
 oprah winfrey to get coffee with someone from the past who would be tense shopping but probably because of a, question
 what's the best thing that happen this year on the twenty and yes that was the best thing happen this year i had a joint party with my fam also to forty, question
 every go with the new years resolution for twenty fifteen all i'm looking to making extra solutions because i usually for a second week in on what's i self let anyone crouching here watching you stretch where you can't see continues to getting up and doing some balance for my mother she very cool what's your favorite exercise yoga best way to decompress yeah that was the last book you read on peaceful parent happy kid was a book you read because everyone else in the world was reading, question
 yeah she's what is your spirit animal of, question
 what the, question
 what song would you probably caught dancing alone to, question
 dancing in heaven from girls just wanna have fun if you could work the runway life what song would it be, question
 my fiance made a little but my daughter space on it so when i travel to cuddle with was the best gift ever given, question
 what was casting catch me if you can as its parts was a fashion icon, question
 twenty what did you from where this, question
 who is your date your brother chris into, question
 and if you wanna see these kids bust out some sick moves, question
 why do birds fly, questions
 any of these look familiar hd, question
 can you say something in six languages, question
 what makes south carolina barbecue different it's a little less racism alabama barbecue was most delicious place in the world tokyo, question
 what's the favor taco of all time like ricky's fish tacos and many other titles please only choose one with the food chain that you paid, question
 call people i don't care with the poodles those was the best fast food restaurant she claimed was nice controversy so hard brake if you or any type of pasta what type of pasta would you be lasagna, question
 what's your spirit animal, question
 what a source who is your ultimate style icon right now much less than what fashion trench we most definitely bring back, question
 what were the subtitles the, question
 what is your best in your pick up line does is going whole foods on a figure of anything who's your childhood crush elaine bennis give a director now he's on phone with the most overused not this guy that, question
 can you rank on us albums in order of best to worst that i have top left front was a tennessee then and go to thailand he uses and yo pablo then kindle graduation then college about the latest rezoning out so hard this favorite verse from any mc ever was my favor not the best thing on my favorite is either really silly gmx first raise lists all his ex girlfriends please hear some of that, question
 what's the last book you didn't finish, question
 who is your favorite video game character jackson will come back to, question
 famous person would you want to play you in a movie hopefully i get the part but i feel like the way things are going to try to get the teller reason and that doesn't really popular with the busy, question
 what's the best thing ever what's your favorite season, question
 what's your favorite plot twist, question
 is that my surprise I asked a question blank, question
 do you like cupcakes usually mae cupcakes, question
 what's your favorite dessert, question
 what's the coolest thing about Canada Jeff Pat and Terry just letting you know there are cherries in the fridge but what's your favorite food, question
 what's your least favorite food what's your favorite condiment, question
 what TV unless icing counts is condiment, question
 what would you eat, question
 what do you see, question
 what brings the dies i am going to make some coffee okay who was the person you love to have coffee with out what that he's dead so that's possible with historical figure with a coffee with rose bowl, question
 how do you like your coffee i like chocolate so in the trash, question
 what do you usually order at starbucks, question
 seven questions from now a man will appear through that window and ask you something about homemaking is that okay with you that's creepy but okay who's the last person you texted on my sister the last person tweeted, question
 what have you had anything besides cupcakes delivered my freedom after i murder that man for stealing my cupcakes, question
 france last the visited canada country was to visit japan what was your first pet a dog was your first pets name for five after the freeway feels dizzy and remy from from accessing kittens or puppies puppies what's your spirit animal mickey mouse or for that was question sixty three, question
 ask if you received on a video of all the people that made a impact on my life for my birthday from last fifteen different hulk awe thank you so much and one last question okay did you forget something, question
 can i have three guesses why don't you tell me you all we what the hell was that the yankees pigeons officer you was like a worm was suppose to me what you think of me when you invite me because, question
 where's your, question
 she's run away he was all replaced with the immigration run away who are abusive dad about the bride happy teller apart from all the other women, question
 to the minister when the colored boy why just the color this in the middle of the wonderful buzzwords piece where would be adjusted right there, question
 would you believe sixteen years groups who feel abortion is yours to go sorry i didn't do it what's going on, question
 we have a room for three how many engineer meet you mean three people think mean really like i can hear three dogs that look like this what you thought near, question
 have you seen my heart, question
 don't question my wife things what we gonna what determines when system is pretty weather jorgensen look like oh we miss phillips, question
 are you mr. Phillips, question
 figured or not that's what should be points that thousand be too many, question
